    PID    PPID USER     %MEM %CPU COMMAND
    257       1 root      0.5  0.1 unattended-upgr
     64       1 root      0.3  0.0 systemd-journal
    160       1 systemd+  0.3  0.0 systemd-resolve
    202       1 root      0.3  0.0 wsl-pro-service
      1       0 root      0.3  0.5 systemd
    477       1 sejal     0.2  0.0 systemd
    199       1 root      0.2  0.0 systemd-logind
    165       1 systemd+  0.1  0.0 systemd-timesyn
    113       1 root      0.1  0.1 systemd-udevd
    220       1 syslog    0.1  0.0 rsyslogd
    387     386 sejal     0.1  0.0 bash
    488     388 sejal     0.1  0.0 bash
    573     569 sejal     0.1  0.0 bash
    184       1 message+  0.1  0.0 dbus-daemon
    388       2 root      0.1  0.0 login
    610     608 sejal     0.1  0.5 ps
    478     477 sejal     0.0  0.0 (sd-pam)
    608     573 sejal     0.0  0.0 system_health_c
    183       1 root      0.0  0.0 cron
    208       1 root      0.0  0.0 agetty
    227       1 root      0.0  0.0 agetty
      9       2 root      0.0  0.0 init
      2       1 root      0.0  0.0 init-systemd(Ub
    569     568 root      0.0  0.0 Relay(573)
    386     385 root      0.0  0.0 Relay(387)
    568       2 root      0.0  0.0 SessionLeader
    385       2 root      0.0  0.0 SessionLeader
